TYPE,INDICATOR,DESCRIPTION,CONTRIBUTOR
sha256,08c245752f689780391056c17a4fa9c5e7049352e25f11614d20e999487308a4,RemoteCellTracker_2.apk,@ch33r10
sha256,09d82667d9d72e8980e78c17898430d05a1419f2e432ee46fae1e40056df1801,talklog.apk,@ch33r10
sha256,1ab77b7b6e9f2461c3d12a304ce791ddc42122e070d6d2a106d47b1766705e21,TheTruthMonitor.apk,@ch33r10
sha256,23bf97b170e152e63ab738e40746556fa66491d12870d93702b87672483a506a,TheTruthSpy.apk,@ch33r10
sha256,35fa07d5a39c670c2143718b6cedf713f32f61d93bc264939439748f6a835cc0,271268714.apk,@ch33r10
sha256,49a4380a485809122953354e2d3ddb056e15c3386396fc07dab482c521fc1af1,MSpyAndroidApp-v5.6.0-555.apk,@ch33r10
sha256,5205cfee818b0db012521c34c321a11d06b16bd1678df70046dfc644681e5fdb,reptilicus.apk,@ch33r10
sha256,603541c26654e3da493a72c372e75049b8d5d7c0ca06ed021482298c1bd9b078,app-release.apk,@ch33r10
sha256,6f3cf212099992f1e810721e61259d2035743469d31bf21633f399532dcda63d,Cerberus_disguised.apk,@ch33r10
sha256,c032a7a964ab00ac99d802380e47944993dfe83207eb37819c6a1f0d8f303e63,SpyMob_01234_107.apk,@ch33r10
sha256,e32cd90b7d31dd786df87e09546eee8237dbb7f83ad300407cd4e839ac2c30c1,AndroidMonitor_1.0.12.apk,@ch33r10
sha256,f904263c7475968bd87776aca3fff01586ecdceb7898f1297c17defef9efd202,320179837.apk,@ch33r10
sha256,416d5a5525b9d36b185fdc9538887d8c80dcd70b581d1349343e0f322ef99a22,system-service.apk,@malwrhunterteam
sha256,b2396341f77b9549f62a0ce8cc7dacf5aa250242ed30ed5051356d819b60abff,Telegram.apk,@malwrhunterteam
